actor_id,bacon_number,intermediary
1106,4,2265
1107,2,2724
1108,3,3426
1109,4,277
1110,4,2007
1111,5,2860
1112,3,1715
1113,2,1360
1114,5,1834
1115,5,3396
1116,3,4225
1117,3,2870
1118,2,2551
1119,,
1120,3,143
1121,6,3625
1122,3,50
1123,4,1199
1124,5,4197
1125,3,4811
1126,4,474
1127,3,4296
1128,5,183
1129,2,4029
1130,3,3959
1131,3,566
1132,2,3246
1133,,
1134,3,3168
1135,3,3450
1136,3,573
1137,,
1138,1,2720
1139,3,4811
1140,5,334
1141,4,2934
1142,2,891
1143,3,3762
1144,,
1145,4,2401
1146,5,4402
1147,4,2561
1148,2,2157
1149,3,267
1150,4,651
1151,2,1092
1152,3,4296
1153,3,1300
1154,4,4532
1155,3,1753
1156,3,3477
1157,4,3328
1158,,
1159,2,2551
1160,,
1161,4,2492
1162,3,850
1163,7,1847
1164,4,1866
1165,4,2125
1166,3,590
1167,2,4029
1168,4,901
1169,3,4363
1170,3,3717
1171,3,2436
1172,,
1173,,
1174,3,4877
1175,4,1127
1176,2,4691
1177,5,2358
1178,5,4402
1179,8,4416
1180,3,1773
1181,3,4225
1182,3,4300
1183,3,3426
1184,3,1811
1185,3,4035
1186,2,4666
1187,,
1188,3,1550
1189,4,4907
1190,4,1690
1191,3,4383
1192,4,870
1193,7,2391
1194,4,4102
1195,5,1860
1196,4,2125
1197,3,2221
1198,5,1573
1199,3,4035
1200,2,4890
1201,5,1834
1202,,
1203,3,737
1204,4,2028
1205,,
1206,,
1207,4,1199
1208,4,865
1209,3,3831
1210,4,4844
1211,3,1940
1212,,
1213,5,3530
1214,4,2401
1215,4,4358
1216,4,4283
1217,3,503
1218,3,4071
1219,5,4074
1220,3,1940
1221,4,1152
1222,4,2021
1223,4,779
1224,,
1225,4,2631
1226,3,4811
1227,4,691
1228,6,4027
1229,,
1230,4,1232
1231,,
1232,3,4874
1233,,
1234,4,2561
1235,3,590
1236,,
1237,4,2899
1238,2,4659
1239,4,2053
1240,5,3526
1241,4,389
1242,3,469
1243,3,4856
1244,,
1245,3,4265
1246,2,3536
1247,3,4616
1248,5,481
1249,4,2769
1250,4,1184
1251,4,4466
1252,,
1253,4,2244
1254,4,3328
1255,3,3313
1256,,
1257,4,1587
1258,2,4659
1259,3,590
1260,3,3840
1261,3,3255
1262,3,590
1263,,
1264,5,1110
1265,,
1266,,
1267,3,1940
1268,3,2325
1269,,
1270,5,2864
1271,4,651
1272,4,2934
1273,4,729
1274,5,3782
1275,4,76
1276,4,4532
1277,3,4811
1278,4,1199
1279,4,2257
1280,4,2353
1281,,
1282,,
1283,,
1284,4,651
1285,3,3560
1286,3,1940
1287,4,2028
1288,3,3717
1289,2,4666
1290,4,3858
1291,5,3888
1292,5,1512
1293,3,3293
1294,3,1300
1295,3,3717
1296,4,1515
1297,2,1946
1298,3,1753
1299,4,2880
1300,2,509
1301,,
1302,,
1303,4,2373
1304,3,53
1305,3,4235
1306,3,590
1307,3,1572
1308,,
1309,,
1310,3,1107
1311,4,4682
1312,3,4325
1313,,
1314,4,106
1315,5,1010
1316,4,4466
1317,2,1138
1318,3,2026
1319,3,2728
1320,3,4811
1321,2,4659
1322,3,4634
1323,4,2028
1324,,
1325,3,1578
1326,4,1690
1327,3,2302
1328,3,4669
1329,3,3168
1330,3,2142
1331,2,2551
1332,1,2720
1333,2,4666
1334,3,4625
1335,,
1336,3,3717
1337,3,3717
1338,3,4811
1339,2,83
1340,2,4029
1341,3,3276
1342,4,2621
1343,3,4811
1344,3,4808
1345,3,3340
1346,4,1388
1347,3,564
1348,3,3786
1349,3,2136
1350,3,1200
1351,,
1352,4,3146
1353,3,294
1354,4,943
1355,4,4458
1356,4,705
1357,4,2440
1358,4,3604
1359,4,217
1360,1,2720
1361,3,4024
1362,,
1363,,
1364,3,4634
1365,4,2639
1366,2,2747
1367,3,573
1368,3,402
1369,4,1046
1370,4,4292
1371,,
1372,3,4427
1373,,
1374,3,4811
1375,,
1376,3,267
1377,2,4659
1378,3,2449
1379,,
1380,2,4029
1381,3,4475
1382,3,3498
1383,3,464
1384,4,1051
1385,3,3959
1386,3,3061
1387,2,1890
1388,3,3344
1389,4,4907
1390,5,1512
1391,2,4691
1392,5,1010
1393,3,1516
1394,4,2360
1395,,
1396,3,1572
1397,3,503
1398,,
1399,4,2405
1400,3,4616
1401,3,1940
1402,4,2128
1403,3,4811
1404,4,2100
1405,4,2100
1406,,
1407,5,1280
1408,4,22
1409,3,4811
1410,4,2365
1411,3,2751
1412,3,4922
1413,,
1414,5,4765
1415,5,3953
1416,3,737
1417,3,4093
1418,3,3676
1419,,
1420,,
1421,4,4628
1422,2,4666
1423,4,1813
1424,6,4854
1425,4,3768
1426,4,589
1427,4,2533
1428,3,4093
1429,2,2747
1430,3,3717
1431,4,2669
1432,3,2915
1433,4,1932
1434,4,3008
1435,,
1436,4,3146
1437,3,4475
1438,4,3185
1439,3,3564
1440,4,1439
1441,3,4669
1442,4,1861
1443,4,2147
1444,4,4052
1445,3,1048
1446,6,2145
1447,3,3823
1448,,
1449,4,4193
1450,3,4035
1451,4,2631
1452,5,1280
1453,5,4451
1454,2,1946
1455,3,3882
1456,5,4402
1457,3,4071
1458,3,1572
1459,4,1037
1460,1,2720
1461,5,4446
1462,4,3768
1463,3,4811
1464,3,2640
1465,4,1876
1466,3,3973
1467,,
1468,4,2839
1469,3,2136
1470,4,2440
1471,3,4093
1472,3,4811
1473,4,16
1474,3,3560
1475,3,2892
1476,3,4903
1477,4,1330
1478,3,4177
1479,3,2647
1480,4,507
1481,3,2179
1482,2,4029
1483,4,3768
1484,,
1485,,
1486,,
1487,3,1129
1488,2,775
1489,3,53
1490,,
1491,3,2449
1492,4,4700
1493,3,4811
1494,6,3834
1495,3,3552
1496,3,4071
1497,5,995
1498,5,2457
1499,6,1453
1500,,
1501,,
1502,4,2069
1503,2,4029
1504,3,4753
1505,5,1239
1506,3,1773
1507,2,1518
1508,,
1509,3,3950
1510,3,2956
1511,4,4163
1512,4,324
1513,6,4676
1514,,
1515,3,1940
1516,2,775
1517,4,4844
1518,1,2720
1519,4,3768
1520,4,3844
1521,3,2816
1522,3,1572
1523,3,4475
1524,5,846
1525,3,2221
1526,,
1527,7,981
1528,4,943
1529,3,566
1530,,
1531,,
1532,4,589
1533,4,3350
1534,3,2437
1535,,
1536,3,267
1537,4,1125
1538,3,50
1539,,
1540,4,2125
1541,,
1542,2,4691
1543,4,432
1544,4,2440
1545,3,2749
1546,3,4093
1547,4,378
1548,3,4702
1549,3,4438
1550,2,4691
1551,3,4340
1552,4,2979
1553,,
1554,3,2449
1555,3,1258
1556,3,4858
1557,4,2028
1558,4,4052
1559,1,2720
1560,1,2720
1561,3,267
1562,4,791
1563,4,3388
1564,5,2690
1565,2,83
1566,4,2563
1567,2,2551
1568,5,2897
1569,4,691
1570,5,1110
1571,,
1572,2,4659
1573,4,3954
1574,3,3859
1575,3,4678
1576,3,4811
1577,3,4856
1578,2,2388
1579,4,1152
1580,3,4281
1581,3,50
1582,4,4685
1583,4,2015
1584,4,2672
1585,3,2142
1586,4,431
1587,3,3717
1588,4,3513
1589,2,509
1590,4,349
1591,2,2551
1592,3,3340
1593,,
1594,2,4666
1595,4,2769
1596,,
1597,3,3959
1598,3,3717
1599,4,1125
1600,3,4222
1601,4,2769
1602,4,4568
1603,3,4024
1604,4,1181
1605,5,4074
1606,,
1607,3,4465
1608,4,324
1609,4,3768
1610,3,4811
1611,4,1336
1612,5,4929
1613,3,1100
1614,,
1615,3,1129
1616,4,4293
1617,4,324
1618,5,1573
1619,4,3798
1620,4,870
1621,4,1938
1622,2,4659
1623,4,4379
1624,3,4034
1625,3,2136
1626,4,2440
1627,,
1628,3,3293
1629,4,2181
1630,3,4296
1631,6,886
1632,,
1633,7,610
1634,3,4811
1635,3,4625
1636,3,2192
1637,,
